adamsla01,Lane,Adams,Lane Adams,2014-09-01,2014-09-28,OF,Kansas City Royals:KCR,1989
adamsma01,Matt,Adams,Matt Adams,2012-05-20,2016-10-02,1B,St. Louis Cardinals:STL,1988
adamsmi01,Mike,Adamson,Mike Adamson,1967-07-01,1969-05-07,P,Baltimore Orioles:BAL,1947
adamsmi02,Mike,Adams,Mike Adams,1972-09-10,1978-07-25,OF-2B-3B,Minnesota Twins:MIN-Chicago Cubs:CHC-Oakland Athletics:OAK,1948
adamsmi03,Mike,Adams,Mike Adams,2004-05-18,2014-09-18,P,Milwaukee Brewers:MIL-San Diego Padres:SDP-Texas Rangers:TEX-Philadelphia Phillies:PHI,1978
adamsre01,Red,Adams,Red Adams,1946-05-05,1946-07-02,P,Chicago Cubs:CHC,1921
adamsri01,Rick,Adams,Rick Adams,1905-07-13,1905-09-29,P,Washington Senators:WSH,1878
adamsri02,Ricky,Adams,Ricky Adams,1982-09-15,1985-10-05,SS-2B-3B,California Angels:CAL-San Francisco Giants:SFG,1959
adamsru01,Russ,Adams,Russ Adams,2004-09-03,2009-06-30,SS-2B-3B-OF,Toronto Blue Jays:TOR,1980
adamsry01,Ryan,Adams,Ryan Adams,2011-05-20,2011-09-19,2B,Baltimore Orioles:BAL,1987
adamssp01,Sparky,Adams,Sparky Adams,1922-09-18,1934-09-30,2B-OF-SS-3B,Chicago Cubs:CHC-Pittsburgh Pirates:PIT-St. Louis Cardinals:STL-Cincinnati Reds:CIN,1894
adamssp02,Spencer,Adams,Spencer Adams,1923-04-22,1927-10-02,2B-SS-3B,Pittsburgh Pirates:PIT-Washington Senators:WSH-New York Yankees:NYY-St. Louis Browns:SLB,1898
adamste01,Terry,Adams,Terry Adams,1995-08-10,2005-05-23,P,Chicago Cubs:CHC-Los Angeles Dodgers:LAD-Philadelphia Phillies:PHI-Toronto Blue Jays:TOR-Boston Red Sox:BOS,1973
adamswi01,Willie,Adams,Willie Adams,1912-06-30,1919-09-06,P,St. Louis Browns:SLB-Pittsburgh Rebels:PBS-Philadelphia Athletics:PHA,1890
adamswi02,Willie,Adams,Willie Adams,1996-06-11,1997-08-14,P,Oakland Athletics:OAK,1972
adcocjo01,Joe,Adcock,Joe Adcock,1950-04-23,1966-10-01,1B-OF,Cincinnati Reds:CIN-Milwaukee Braves:MLN-Cleveland Indians:CLE-Los Angeles Angels of Anaheim:LAA-California Angels:CAL,1927
adcocna01,Nathan,Adcock,Nathan Adcock,2011-03-31,2015-07-26,P,Kansas City Royals:KCR-Texas Rangers:TEX-Cincinnati Reds:CIN,1988
addisbo01,Bob,Addis,Bob Addis,1950-09-01,1953-06-12,OF,Boston Braves:BSN-Chicago Cubs:CHC,1925
adducji01,Jim,Adduci,Jim Adduci,1983-09-12,1989-07-26,1B-OF,St. Louis Cardinals:STL-Milwaukee Brewers:MIL-Philadelphia Phillies:PHI,1959
adducji02,Jim,Adduci,Jim Adduci,2013-09-01,2014-09-28,1B-OF,Texas Rangers:TEX,1985
addybo01,Bob,Addy,Bob Addy,1871-05-06,1877-10-06,2B-SS-OF-3B,Rockford Forest Citys:ROK-Philadelphia Whites:PHI-Boston Red Stockings:BOS-Hartford Dark Blues:HAR-Chicago Cubs:CHC-Cincinnati Reds:CIN,1842
adenhni01,Nick,Adenhart,Nick Adenhart,2008-05-01,2009-04-08,P,Los Angeles Angels of Anaheim:LAA,1986
aderhmo01,Morrie,Aderholt,Morrie Aderholt,1939-09-13,1945-09-30,2B-3B-OF,Washington Senators:WSH-Brooklyn Dodgers:BRO-Boston Braves:BSN,1915
adkinde01,Dewey,Adkins,Dewey Adkins,1942-09-19,1949-10-02,P,Washington Senators:WSH-Chicago Cubs:CHC,1918
adkindi01,Dick,Adkins,Dick Adkins,1942-09-19,1942-09-20,SS,Philadelphia Athletics:PHA,1920
