Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,Age,IFFB,Balls,Strikes,Pitches,K/9,BB/9,K/BB,AVG,BABIP,FIP,GB/FB,LD%,GB%,FB%,HR/FB,WAR,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,F-Strike%,SwStr%,K%,BB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
Eduardo Rodriguez,Red Sox,6,7,4.19,25,24,137.1,582,126,66,64,19,50,1,5,150,24,10,894,1568,2462,9.83,3.28,3,0.239,0.299,3.97,0.81,22.10%,34.90%,42.90%,11.80%,2.1,0.27,30.20%,69.90%,47.00%,64.00%,81.80%,75.20%,61.20%,11.70%,25.80%,8.60%,34.80%,38.20%,27.10%,18.60%,50.70%,30.80%,13164
Cole Hamels,Rangers,11,6,4.2,24,24,148,614,125,74,69,18,53,1,11,105,33,7,881,1431,2312,6.39,3.22,1.98,0.227,0.251,4.62,1.41,18.80%,47.50%,33.70%,12.10%,1.5,1.16,30.70%,69.20%,46.50%,67.40%,86.70%,79.20%,56.40%,9.70%,17.10%,8.60%,40.00%,36.20%,23.80%,13.70%,50.30%,36.00%,4972
Kenta Maeda,Dodgers,13,6,4.22,29,25,134.1,557,121,68,63,22,34,1,5,140,29,19,747,1434,2181,9.38,2.28,4.12,0.234,0.278,4.07,0.95,21.80%,38.10%,40.10%,15.00%,2,0.01,29.90%,66.70%,47.40%,56.30%,82.20%,73.60%,64.10%,12.50%,25.10%,6.10%,38.10%,34.70%,27.30%,20.90%,50.80%,28.30%,18498
Dylan Bundy,Orioles,13,9,4.24,28,28,169.2,698,152,82,80,26,51,0,7,152,24,27,988,1831,2819,8.06,2.71,2.98,0.238,0.273,4.38,0.7,20.00%,32.80%,47.20%,11.50%,2.7,0.96,32.10%,68.70%,48.80%,61.10%,85.20%,76.60%,59.60%,11.40%,21.80%,7.30%,37.90%,34.00%,28.10%,17.60%,45.90%,36.50%,12917
Lance McCullers Jr.,Astros,7,4,4.25,22,22,118.2,512,114,61,56,8,40,1,11,132,23,2,747,1267,2014,10.01,3.03,3.3,0.247,0.33,3.1,3.14,19.20%,61.30%,19.50%,12.70%,3,0.05,31.60%,63.70%,45.50%,48.30%,90.10%,73.70%,55.70%,12.00%,25.80%,7.80%,46.80%,32.80%,20.40%,20.70%,51.40%,28.00%,14120
Gerrit Cole,Pirates,12,12,4.26,33,33,203,849,199,98,96,31,55,1,4,196,26,23,1153,2145,3298,8.69,2.44,3.56,0.252,0.298,4.08,1.36,20.60%,45.80%,33.70%,15.90%,3.1,0.63,27.90%,66.40%,46.30%,66.50%,85.50%,79.50%,63.50%,9.50%,23.10%,6.50%,40.40%,31.50%,28.10%,23.90%,44.80%,31.30%,13125
Dan Straily,Marlins,10,9,4.26,33,33,181.2,769,176,90,86,31,60,4,5,170,28,38,1078,2007,3085,8.42,2.97,2.83,0.25,0.288,4.58,0.74,20.00%,34.20%,45.90%,13.00%,2,-0.09,32.10%,70.00%,49.40%,59.20%,84.20%,75.30%,61.90%,12.20%,22.10%,7.80%,40.30%,34.30%,25.50%,19.10%,48.30%,32.60%,9460
R.A. Dickey,Braves,10,10,4.26,31,31,190,815,193,99,90,26,67,3,10,136,42,24,994,1930,2924,6.44,3.17,2.03,0.262,0.29,4.72,1.41,19.70%,46.90%,33.40%,13.20%,1.6,-0.84,28.20%,67.10%,47.00%,75.10%,84.20%,81.40%,64.80%,8.80%,16.70%,8.20%,38.40%,34.40%,27.20%,24.30%,48.50%,27.20%,1245
Danny Salazar,Indians,5,6,4.28,23,19,103,439,94,51,49,14,44,0,3,145,27,9,633,1181,1814,12.67,3.84,3.3,0.24,0.343,3.48,1.1,25.30%,39.20%,35.50%,16.10%,2.2,0.72,32.50%,70.00%,50.30%,46.10%,78.40%,67.50%,60.10%,16.40%,33.00%,10.00%,43.30%,34.40%,22.30%,15.80%,58.30%,25.90%,5867
Sean Newcomb,Braves,4,9,4.32,19,19,100,456,100,51,48,10,57,6,6,108,24,5,672,1159,1831,9.72,5.13,1.89,0.254,0.327,4.19,1.32,22.80%,43.80%,33.30%,10.90%,1.3,-0.64,30.90%,68.60%,46.40%,63.90%,83.60%,75.90%,58.60%,11.20%,23.70%,12.50%,36.50%,34.70%,28.80%,17.50%,55.40%,27.00%,16943
