Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Bubba Starling (10782230),Bubba Starling,10782230,OF,2800,KC@OAK 06/09/2018 04:05PM ET,KC,0
OF,Tyler Collins (10782233),Tyler Collins,10782233,OF,2800,KC@OAK 06/09/2018 04:05PM ET,KC,0
C,Christian Vazquez (10781660),Christian Vazquez,10781660,C,2700,CWS@BOS 06/09/2018 04:05PM ET,BOS,4.35
OF,Trayce Thompson (10781668),Trayce Thompson,10781668,OF,2700,CWS@BOS 06/09/2018 04:05PM ET,CWS,3.33
C,Dustin Garneau (10781673),Dustin Garneau,10781673,C,2700,CWS@BOS 06/09/2018 04:05PM ET,CWS,0
3B/OF,Steve Selsky (10781683),Steve Selsky,10781683,3B/OF,2700,CWS@BOS 06/09/2018 04:05PM ET,BOS,0
1B,Sam Travis (10781711),Sam Travis,10781711,1B,2700,CWS@BOS 06/09/2018 04:05PM ET,BOS,4.67
2B/SS,Tzu-Wei Lin (10781715),Tzu-Wei Lin,10781715,2B/SS,2700,CWS@BOS 06/09/2018 04:05PM ET,BOS,2.71
2B/OF,Andrew Romine (10781762),Andrew Romine,10781762,2B/OF,2700,SEA@TB 06/09/2018 04:10PM ET,SEA,1.5
C/OF,Chris Herrmann (10781776),Chris Herrmann,10781776,C/OF,2700,SEA@TB 06/09/2018 04:10PM ET,SEA,3
C,David Freitas (10781793),David Freitas,10781793,C,2700,SEA@TB 06/09/2018 04:10PM ET,SEA,3.48
OF,Rob Refsnyder (10781817),Rob Refsnyder,10781817,OF,2700,SEA@TB 06/09/2018 04:10PM ET,TB,3.61
C,Curt Casali (10781885),Curt Casali,10781885,C,2700,STL@CIN 06/09/2018 04:10PM ET,CIN,7.4
C,Roberto Perez (10781968),Roberto Perez,10781968,C,2700,CLE@DET 06/09/2018 04:10PM ET,CLE,3.65
SS,Freddy Galvis (10782072),Freddy Galvis,10782072,SS,2700,SD@MIA 06/09/2018 04:10PM ET,SD,5.43
C,Bryan Holaday (10782099),Bryan Holaday,10782099,C,2700,SD@MIA 06/09/2018 04:10PM ET,MIA,2.73
